abajar/bajar		to go down
burbujear		to bubble
cabecear		to nod one's head when sleepy
cachar			to break into pieces
calar			to drench/soak
calcar			to trace/copy
calcular		to calculate
calificar		to assess/rate/classify
calmar			to calm
camorrear		to quarrel
cancelar		to cancel/strike out
candar			to lock
cantalear		to hum/sing softly
cantonear		to idle/loaf/wander about
capar			to castrate/cut off
captar			to capture/win trust
carcajear		to burst out laughing
carecer de		to be in need of/to lack
cargarse de		to be overloaded with
castigar		to chastise/punish
castrar			to castrate/to dry a wound
catar			to sample/taste
causar			to cause
cautivar		to capture/captivate/charm
cazar			to hunt/chase
ceder			to cede/yield
cegar			to blind/block up/to grow blind
censurar		to censure
cercar			to fence in, enclose
cesar			to cease/stop
chafar			to crease/crumple (clothes)
chafarse		to become flattened
chamar			to barter/exchange
chamuscar		to singe/scorch
chapar			to cover/plate with silver or gold
charlar			to chatter/prattle
chascar			to crunch
chiflar			to whistle/blow a whistle
chillar			to scream/shriek
chinchar		to annoy/irritate
chismear		to gossip
chocar			to collide/crash
chuchear		to whisper
chufar			to mock
circular		to circulate/move
citar			to make an appointment/cite/quote
civilizar		to civilize/become civilized
clamar			to cry out/wail
clarar			to make clear/explain
clarificar		to clarify
clasificar		to classify
clavar			to nail
cobijar			to cover/shelter
cocer			to cook
codear			to elbow/nudge
colar			to filter/strain
colear			to wag/move
colorar			to color/give color
colorear		to color/tint
comandar		to command
combatir		to combat/fight
comentar		to comment
cometer			to commit/entrust
comparar		to compare
compartir		to divide/share
competir		to compete/contest
compilar		to compile
complacer		to please
completar		to complete
complicar		to complicate
comprobar		to check/verify/confirm
computar		to compute/calculate
comunicar		to communicate
concebir		to conceive/imagine
conceder		to concede
concentrar		to concentrate
concluir		to conclude
condenar		to condemn
confiar			to trust/entrust
confirmar		to confirm
confiscar		to confiscate
conformar		to conform
congelar		to congeal/freeze
conjugar		to conjugate
consentir		to consent/allow
considerar		to consider
consolar		to console
conspirar		to conspire/plot
constar			to be clear/consistent
constatar		to prove/verify
consultar		to consult
contemplar		to contemplate/meditate
contentar		to gratify/please
contradecir		to contradict
contraponer		to compare/contrast
contratar		to contract/engage/hire
controlar		to control
convalecer		to convalesce
conversar		to converse
copiar			to copy
corresponder		to correspond
corromper		to corrupt
cosechar		to harvest
crear			to create
criticar		to criticize
cuestionar		to debate/discuss
culpar			to blame/accuse
culparse		to blame oneself
cultivar		to cultivate/grow
cumular			to accumulate
curar			to cure
dañar			to damage/injure
dañarse			to become damaged/injured
danzar			to dance
datar			to date (a letter, an account)
debatir			to debate
decantar		to exaggerate/pour off
decentar		to cut into/begin cutting
declamar		to declaim/recite
declinar		to decline/get weak
decorar			to decorate
dedicar			to dedicate
deferir			to defer/delegate
definir			to define
deformar		to deform
delatar			to denounce/accuse
delegar			to delegate
demandar		to demand/petition/sue
demarcar		to demarcate/delimit
demoler			to demolish/pull down
denegar			to deny/refuse
denotar			to denote
dentar			to teethe/provide with teeth/indent
deparar			to provide/supply
departir		to converse
depilar			to depilate/remove hair
deplorar		to deplore
depositar		to deposit/place/put
depreciar		to depreciate
derogar			to derogate/abolish
derramar		to spill
derretir		to melt/dissolve
desacordar		to be in discord
desacordarse		to become forgetful
desalentar		to make breathless/put out of breath
desalojar		to move out/vacate
desamparar		to abandon/forsake
desanimar		to discourage
desaparecer		to disappear
desapreciar		to underestimate
desaprender		to unlearn
desarrollar		to develop
desarticular		to disarticulate
desayudar		to hinder/impede
desbaratar		to ruin/wreck
descalificar		to disqualify
descambiar		to cancel an exchange
descaminar		to mislead/lead astray
descargar		to unload
descender		to descend/go down
descolgar		to unhook/take down from hanging position
descollar		to protrude/stand out
descomponer		to disarrange/disrupt/disturb
desconcertar		to disconcert/upset
desconectar		to disconnect
descontar		to discount/deduct/disregard
descuidarse		to be negligent/careless
desdeñarse		to be disdainful
desechar		to reject
desencantar		to disenchant
desenvolver		to unwrap
desfijar		to pull out/unfix
desgajar		to rip off/tear off
desganarse		to lose one's apetite
designar		to designate
desinfectar		to disinfect
desmentir		to disprove/prove false
desnudar		to undress
desnudarse		to undress oneself
desobedecer		to disobey
desocupar		to vacate
desordenar		to disarrange
desorganizar		to disorganize
despedir		to dismiss/fire/discharge
despertar		to wake up (someone)
desplegar		to unfold/unfurl/spread out
desterrar		to bannish/exile
desvalorizar		to depreciate/devalue
desviar			to divert
determinar		to determine
dictar			to dictate
diferir			to differ/defer/post-pone/delay
digerir			to digest
discursar		to discourse/make a speech
diseminar		to disseminate/spread
disfrutar		to enjoy
disimular		to dissemble/pretend/cover up
disolver		to dissolve
disponer		to dispose
distraer		to distract
distribuir		to distribute
disturbar		to disturb
disuadir		to dissuade
divertir		to amuse/distract/entertain
dividir			to divid
divulgar		to divulge/make known
dorar			to gild/cover with gold
dotar			to endow/bequeath/give a dowry
driblar			to dribble
editar			to publish
educar			to educate/instruct/rear/bring up
elaborar		to elaborate/manufacture
embalar			to pack/create
embarcar		to embark/go on board
embargar		to impede/hamper
embocar			to cram down food/gulp down
emborronar		to scribble
emitir			to emit/send forth
empapar			to drench/soak
enamorar		to enamor/inspire love
enamorarse de		to fall in love with
enchufar		to connect/plug in
encomendar		to commend/entrust
enfadar			to anger/irritate
enfriar			to cool/chill
engañarse		to deceive oneself/be mistaken
engordar		to fatten/grow fat/put on weight
enjuagar		to rinse
enmendar		to amend/revise/correct
enojar			to annoy/irritate
enrollar		to wind/roll up
ensayar			to test/try/rehearse
ensillar		to saddle
ensolver		to include/reduce/condense
ensuciar		to dirty/soil/stain
entenderse		to understand each other/be understood
enterar			to inform
enterarse de		to find out about
enterrar		to bury/inter/forget
entregarse		to surrender/give in
entretener		to entertain/amuse
entretenerse		to amuse oneself
entrever		to catch a glimpse
entrevistar		to interview
envestir		to clothe
envolverse		to become involved
equipar			to equip
equiparar		to compare/match/make equal
equivaler		to equal
equivocar		to mistake
eructar			to belch/burp
escalar			to climb
escapar			to escape
escarnecer		to ridicule/mock
esconder		to conceal/hide
esconderse		to hide oneself
escupir			to spit
esforzar		to strengthen/encourage
esforzarse		to make an effort
espantar		to frighten/scare
esposar			to handcuff
estacionar		to station/park (a vehicle)
estrechar		to narrow/tighten
evacuar			to evacuate
evitar			to avoid
evocar			to evoke/recall
exagerar		to exaggerate
examinar		to examine
exasperar		to exasperate
excitar			to excite/stimulate
exclamar		to exclaim
excluir			to exclude
excusar			to excuse
exhalar			to exhale
existir			to exist
expedir			to expedite
explorar		to explore
exponer			to expose
exportar		to export
extender		to extend
extinguir		to extiguish
extraer			to extract/draw out
extrañar		to surprise/to miss
extrañarse		to be surprised/amazed
facilitar		to facilitate
fallar			to trump/fail
falsear			to falsify/misrepresent
falsificar		to falsify/forge
familiarizar		to familiarize
fantasear		to daydream
farolear		to boast/brag/show off
fascinar		to fascinate
fastidiar		to annoy/pester
fatigar			to fatigue/tire
figurar			to depict/draw/represent
figurarse		to imagine
fijar			to fix/fasten
fluir			to flow
formular		to formulate
forzar			to force
fotocopiar		to photocopy
frotar			to rub
fruncir			to knit (eyebrows)/to purse (lips)
frustrar		to frustrate
fusilar			to shoot
fusionar		to combine/merge
fustigar		to whip
galantear		to woo/make eyes at
galopar			to gallop
gandulear		to idle/loaf
gansear			to say/do stupid things
garabatear		to scribble
garbear			to show off
garlar			to chatter/prattle
gatear			to crawl
generar			to generate/produce
girar			to turn around/spin
golpear			to crush/hit/strike
golpetear		to pound/hammer
gorjear			to warble/gurgle
gormar			to vomit/spew
gotear			to drip
grabar			to engrave
gratar			to brush/rub
gravar			to burden
gravitar		to gravitate
guardar			to keep/guard/save
guipar			to notice/see
guisar			to cook
hacinar			to pile up/stack
hadar			to foretell
halagar			to flatter
hambrear		to starve
haraganear		to idle/loaf
heder			to stink
hervir			to boil
holgar			to rest/be idle
honrar			to honor
hurtar			to rob/steal
indentificar		to indentify
iluminar		to illuminate
ilusionar		to fascinate
ilusionarse		to have illusions
ilustrar		to illustrate/enlighten/explain
imaginar		to imagine
imbuir			to imbue
imitar			to imitate
implicar		to implicate
implorar		to implore
imponer			to impose
impresionar		to impress
incendiar		to set on fire
incitar			to incite
inclinar		to incline/tilt
inferir			to infer
influenciar		to influence
informar		to inform
iniciar			to initiate/begin
inmigrar		to immigrate
inocular		to inoculate
inspirar		to inspire
instituir		to institute/found
instruir		to instruct/teach
interponer		to interpret
interrogar		to interrogate
intimidar		to intimidate
inventar		to invent
invertir		to invert/turn upside down
investigar		to investigate
investir		to invest/endow
invocar			to appeal/call upon
irritar			to irritate
jabonar			to soap/lather
jacarear		to annoy/to roam the streets at night singing 
jactarse		to boast/brag
jadear			to pant
jalar			to pull
jamar			to eat
jarapotear		to stuff with drugs/medicines
jetar			to dilute/dissolve
justar			to joust/tilt
justificar		to justify
ladrar			to bark
ladronear		to shoplift
lagrimar		to cry/weep/shed tears
lamentar		to lament
lamer			to lick
laminar			to laminate
limar			to file/polish/smooth
llagar			to injure/hurt/wound
llamear			to blaze/flame
lloriquear		to whimper/whine
lloviznar		to drizzle
localizar		to localize/locate/find
lograr			to achieve/attain/get
lubricar		to lubricate
lustrar			to polish/cleanse
machar			to beat/crush
magullar		to batter/bruise
majar			to crush/mash
malear			to ruin/spoil
maleficiar		to damage/harm/injure
malgastar		to squander/waste
maliciar		to fear/suspect
maltratar		to maltreat/abuse
manchar			to spot/stain/blot
mandar			to command/order
manipular		to manipulate
maquillarse		to put on makeup
marcar			to dial (phone)/mark/score (goal)
mascar/masticar		to chew/masticate
meditar			to meditate
mendigar		to beg
merendar		to have a snack/refreshment
meter			to put in/into
mimar			to pamper/spoil/indulge
mitigar			to mitigate/allay/alleviate
modular			to modulate
moler			to crush/grind/mill
molestar		to bother/annoy
monear			to clown (monkey) around
murmurar		to murmur/mutter
mutilar			to mutilate
nacionalizar		to nationalize/naturalize
narrar			to narrate
naturalizar		to naturalize
nausear			to feel nauseated/sick
necear			to talk nonsense
negociar		to negotiate
niñear			to behave childishly
nombrar			to name/appoint
notar			to note
noticiar		to inform/notify
notificar		to notify/inform
numerar			to number
nutrir			to feed/nourish
obcecar			to blind
objetar			to object
obligar			to oblige/compel
obliterar		to obliterate/erase
obrar			to build/work
obscurecer		to darken
obsequiar		to entertain/compliment
obstar			to obstruct/impede/hinder
obstinarse		to be obstinate/stubborn
obstruir		to obstruct/block
oficiar			to officiate
ofuscar			to dazzle
olfatear		to smell/sniff
ominar			to predict/foretell/forecast
omitir			to omit
ondular			to undulate/wind
operar			to operate
opinar			to opine/think/have an opinion
optar			to opt/choose
orar			to pray
ornar			to adorn/decorate
oscilar			to oscillate/swing
otorgar			to grant/concede
padecer			to suffer/endure
paginar			to paginate
paladear		to savor/taste/relish
palmear			to clap hands
palpar			to feel/touch
palpitar		to palpitate/beat/throb
papar			to swallow soft food without chewing
parpadear		to blink/wink
participar		to participate
patear/patalear		to kick
patinar			to skate/skid/slide
pausar			to pause
pecar			to sin
pelear			to fight
penetrar		to penetrate
perdurar		to last a long time
purfumar		to perfume
permanecer		to remain/stay
perseguir		to pursue
persistir		to persist
persuadir		to persuade
pesar			to weigh
pescar			to fish
pestañear		to wink/blink
picar			to prick/puncture/pierce
pilotar/pilotear	to pilot
plagar			to infest/plague
planchar		to iron
planear			to plan/design/glide
plantar			to plant
plegar			to fold/pleat
poblar			to populate
posar			to pose/put/lay down
posponer		to postpone
preciar			to appraise/value
preciarse		to brag about oneself
precipitar		to precipitate
predisponer		to predispose
predominar		to predominate
preponer		to put before
prescribir		to prescribe
preservar		to preserve
presuponer		to presuppose
prevaler		to prevail
prevenir		to warn
prever			to forsee
privar			to deprive
proceder		to proceed
procesar		to prosecute
procurar		to endeavor/try/strive for
proferir		to utter/say
profesar		to profess
programar		to program
progresar		to progress
prolongar		to prolong
prometer		to promise
promulgar		to promulgate/announce
propagar		to propagate/announce
proponer		to propose
proporcionar		to furnish/supply/provide
proscribir		to proscribe/banish
proseguir		to continue/follow up/proceed
prosperar		to prosper
protestar		to protest
provenir		to originate/come from
provocar		to provoke
publicar		to publish/issue
pugnar			to fight
pujar			to struggle
pulsar			to pulse/throb
punchar			to pierce/puncture
puntar			to dot
quebrar			to break/smash
querellarse		to file a legal complaint/bring suit against
quesear			to make cheese
quietar			to quiet/calm
quietarse		to calm oneself
quillotrar		to incite/excite
quimerizar		to have fanciful ideas
rabiar			to rage
racionar		to ration
rascar			to scratch/itch
rasgar			to rip/tear
raspar			to scrape
rasurarse		to shave one's beard
reanimar		to reanimate/revive
reaparecer		to reappear
rearmar			to rearm
reasegurar		to reassure/reinsure
reasumir		to resume/reassume
reatar			to tie again/retie
rebajar			to lower/reduce/bring down
rebatir			to knock down again/beat again
rebuscar		to search carefully/search into
recalentar		to reheat/warm up/warm over
recapitular		to recapitulate
recargar		to reload/overload
rechazar		to reject/repel
reciclar		to recycle
recitar			to recite
reclamar		to reclaim/claim/demand/protest
reclinar		to recline/lean
reclinarse en/sobre	to lean on/upon
reconstruir		to rebuilb/reconstruct
reconvenir		to reprimand/rebuke
recopilar		to compile
recrear			to amuse/entertain
recrearse		to amuse/entertain
recular			to recoil/go backwards
recuperar		to recuperate/recover
redactar		to edit
reeditar		to reprint/publish again
reeligir		to reelect/elect again
refinar			to refine
reflexionar		to reflect
reformar		to reform/alter/revise
regalarse		to indulge oneself
registrar		to register/record/examine
rehacer			to do over/redo
rehuir			to avoid/shun
rehusar			to refuse
reiterar		to reiterate/repeat
relanzar		to throw back/repel
relatar			to relate/narrate
relavar			to wash again
relavarse		to wash oneself again
releer			to reread/read again
relumbrar		to dazzle/sparkle
remandar		to send over and over again
remarcar		to mark again
rematar			to kill off/terminate/finish off
remediar		to remedy
remedir			to remeasure
rememorar		to remember
remendar		to mend
remeter			to put back
remirar			to look at over again
remojar			to soak
remontar		to elevate/raise/frighten away
remorder		to bite again
remover			to remove/take away
renacer			to be born again/reborn
renegar			to renege/deny/abhor
renunciar		to renounce
reorganizar		to reorganize
repararse		to restrain oneself
repasar			to review/go over again
repensar		to rethink/reconsider
repesar			to weigh again
repintar		to repaint
replantar		to replant
replicar		to retort/reply
reponer			to put back
represar		to repress/hold back
representar		to represent
reprobar		to reprove/fail in an exam
reprochar		to reproach
reproducir		to reproduce
repudiar		to repudiate
repulir			to polish again
repulsar		to repulse/reject
requemar		to burn again/overcook
requerir		to require
resaltar		to bounce/rebound
resaludar		to return someone's greeting
rescatar		to ransom/rescue
reservar		to reserve
resistir		to resist
respetar		to respect
respirar		to breathe/respire
restaurar		to restore
restituir		to refund/give back
resucitar		to resuscitate/bring back to life
resultar		to result
resumir			to summarize/sum up
resurgir		to resurge/spring up again
retacar			to hit twice (a ball)
retajar			to cut around
retar			to challenge
retardar		to retard/slow down
retemblar		to shake/tremble
retener			to retain
retocar			to touch up/retouch
retostar		to toast again
retraducir		to translate over again
retraer			to bring again/bring back
retransmitir		to retransmit/rebroadcast
retratar		to paint a portrait
retribuir		to repay/reward
retrotraer		to antedate/date back
revender		to resell
reventar		to burst/explode
rever			to review/revise
reverter		to overflow
revertir		to revert
revivir			to revive
revolar			to fly again
revolcar		to knock down
revolcarse		to wallow/roll about
revolotear		to whirl up in the air
rezar			to pray
ridiculizar		to ridicule
rimar			to rhyme
rizar			to curl
rociar			to spray/sprinkle
rodar			to roll
rodear			to surround
rodearse de		to surround oneself with
roncar			to snore
ronchar			to crunch/chew
rondar			to patrol/prowl
rotar			to rotate
rotular			to label
rozar			to scrape/scratch/rub
rubricar		to initial/sign and seal
rular			to roll
rumbar a		to go in the direction of
rumiar			to ruminate/meditate
saborear		to savor/taste/relish
sacrificar		to sacrifice
salar			to salt/season with salt
saldar			to settle/pay a debt
salivar			to salivate
salpicar		to splash
saltear			to hold up/rob
salvar			to save/rescue
sanar			to cure/heal
sancionar		to sanction/authorize/punish
sangrar			to bleed
sangrarse		to be bled
saquear			to pillage/loot/sack
satirizar		to satirize
sedar			to soothe/quiet
segregar		to segregate
sellar			to seal/stamp
sembrar			to sow
semejar			to resemble
separarse		to separate/come apart
sepultar		to bury
serrar			to saw
signar			to sign
signarse		to cross oneself
significar		to signify/mean
silbar			to whistle
simbolizar		to symbolize
simpatizar con		to get along well with
simplificar		to simplify
simular			to simulate/feign/pretend
sintonizar		to tune
sisar			to snitch
sitiar			to besiege
situar			to situate/place/locate
sobar			to knead/massage/rub
sobregirar		to overdraw
sobreponer		to superimpose
sobresalir		to stand out/excel
sobresaltar		to attack/startle
sobrevenir		to supervene/occur later
solicitar		to solicit/request
solidificar		to solidify
soltar			to loosen/untie/let go
solucionar		to solve
solventar		to settle/pay a debt
sombrar			to shade
sonarse			to blow one's nose
sonorizar		to voice (phonetics)
sopapear		to slap
soplarse		to gobble up/wolf down
soportar		to support/endure/put up with
sorber			to sip
sorregar		to irrigate
sortear			to raffle/avoid/dodge
sosegar			to quiet/calm down
soterrar		to bury/hide
suavizar		to smooth/soften
subarrendar		to sublet/sublease
subastar		to auction
sublimar		to exalt
subordinar		to subordinate
subsistir		to subsist
substituir		to subsitute
substraer		to subtract/take away/remove
subvencionar		to subsidize
subvenir		to provide for needs
subvertir		to subvert/disturb
sudar			to sweat/perspire
sujetar			to secure/fasten/subdue/subject
sumar			to add/add up
suminstrar		to furnish/provide/supply
sumir			to sink/submerge
superar			to surpass/exceed
superponer		to superpose
supervenir		to happen/take place
suplantar		to supplant/take the place of
suplicar		to supplicate/entreat/implore
surcar			to plow
surtir			to supply/stock/provide
suscribir		to subscribe
suspender		to suspend/hang
sustraer		to subtract/take away
susurrar		to murmur/whisper
sutilizar		to file/refine/polish/taper
tacar			to mark/stain
tachar			to cross out/strike out
tajar			to slice/carve/chop
talar			to fell/cut down
tambalear		to stagger
tamizar			to sift
tapar			to cover
tapiar			to wall up/wall in
tapizar			to upholster/hang tapestry
tardar			to take a long time
tarjar			to tally
tartamudear		to stammer/stutter
tascar			to gnaw/nibble
teclear			to run one's fingers over piano or typewriter keys
tejar			to tile
tejer			to weave
teleguiar		to guide by remote control
temblar			to tremble/shudder/shake
teorizar		to theorize
testar			to make a will/testament
testificar		to testify/bear witness
timar			to cheat/swindle
timarse con		to flirt with
timbrar			to put a seal or stamp on
tintar			to tint/dye
titular			to title/entitle
tolerar			to tolerate
tontear			to act foolishly
torcer			to twist
tornar			to turn
tornear			to go round
torturar		to torture
torturarse		to worry excessively
tostarse		to become sunburned
trabar			to bind/join/lock
trabarse to palabras	to insult each other
tragar			to swallow
traicionar		to betray
trajinar		to rush about
tramitar		to negotiate/transact
trancar			to stride along
tranquilizar		to tranquilize
transcribir		to transcribe
transferir/trasferir	to transfer
transformar		to transform
transfregar		to rub together
transigir con		to agree to
transitar		to journey/travel
translimitar		to go beyond the limits
transmitir		to transmit
transpirar		to perspire/sweat
transponer		to transfer
transportar		to transport
tranzar			to break off/cut off/braid
trascender		to transcend
trascolar		to strain
trascolarse		to percolate
trasegar		to decant
trasladar		to transfer/move
trasladarse		to move/change residence
traspasar		to pierce
trasquilar		to shear/clip/crop (hair)
trastornar		to turn upside down/upset/disturb
trasvolar		to fly over/fly across
tratarse de		to be a question of
travesar/atravesar	to cross/cross over/go through
trazar			to trace/draw/sketch
trenzar			to braid/plait
trepar			to climb/mount
tributar		to pay tribute
tricotar		to knit
trillar			to make frequent use of
trinar			to trill/warble
trinchar		to slice (meat)
triplicar		to triplicate/triple
triscar			to mix up
triturar		to crush/grind
triunfar		to triumph
trizar			to tear to shreds
trocar			to exchange
trocear			to cut into pieces
trompicar		to trip/stumble
tronar			to thunder
tronchar		to crack/split
tronzar			to slice
trotar			to trot
trucar			to pocket a ball in billiards
truhanear		to cheat/trick
trujamanear		to interpret
tullecer		to cripple/disable
tullir			to cripple/disable
tumbar			to knock down/knock over/overthrow
tundir			to clip/shear/beat/thrash
turbar			to disturb/upset/worry
tutear			to use the tú form with someone
tutearse		to use the tú form with each other
ubicar			to locate/situate
ufanarse de		to boast of
ultimar			to finish off
ultrajar		to outrage
ulular			to ululate/howl/screech/hoot
uncir			to yoke
ungir			to anoint
unificar		to unify
uniformar		to make uniform/standardize
untar			to apply ointment/spread butter on
urdir			to scheme/plot
urgir			to urge/be urgent
usurpar			to usurp/encroach
utilizarse		to use/make use of
vacar			to become vacant
vaciarse		to become empty
vacilar			to vacillate
vacunar			to vaccinate
vacunarse		to be vaccinated
vagabundear		to roam/idle/loaf
vagar			to roam/wander
vaguear			to idle/loaf
validar			to validate
vallar			to fence in/barricade
valorar/valorear	to value/increase in value
valorizar		to value
valsar			to waltz
variar			to vary
vaticinar		to vaticinate/prophesy/predict/foretell
vedar			to prohibit/forbid
vendar			to bandage
vengar			to avenge
ventar			to sniff/scent/blow (wind)
ventilar		to ventilate
veranear		to spend the summer
verificar		to verify
versar			to go round/turn
versificar		to versify/write verses
verter			to pour
vestir			to clothe
vibrar			to vibrate
vincular		to relate/connect
vindicar		to vindicate
violar			to violate/rape
visar			to visa/examine and endorse
vocalizar		to vocalize
vocear			to shout/cry out
vociferar		to vociferate/shout
volcar			to overturn/turn over/tilt
voltear			to turn over/roll over
vomitar			to vomit
yapar			to give a little more/add a tip
yermar			to strip/lay waste
yuxtaponer		to juxtapose
zafar			to loosen/untie
zafarse de		to escape from/get out of
zaherir			to wound with words/reproach/reprimand
zahondar		to dig
zambullir		to dive/plunge
zampar			to stuff/cram food down one's throat/gobble down
zanjar			to dig a ditch
zapatear		to tap one's feet
zapear			to chase away/scare away
zapuzar			to plunge into water
zarandar/zarandear	to shake about
zunchar			to fasten with a band
zurrar			to spank/wallop
